Data__|;Data__|__Id;Data__|__CoinName;Data__|__Name;Data__|__Symbol;;Data__|__FullName;Data__|__Algorithm;Data__|__ProofType;Data__|__FullyPremined;Data__|__TotalCoinSupply;Data__|__PreMinedValue;Data__|__TotalCoinsFreeFloat;Data__|__SortOrder;Data__|__Sponsored;Type
TRC;4626;TerraCoin;TRC;TRC;;TerraCoin (TRC);SHA256;PoW;0;42000000;N/A;N/A;219;False;
TTC;4627;TittieCoin;TTC;TTC;;TittieCoin (TTC);Scrypt;PoW;0;1000000;N/A;N/A;220;False;
ULTC;4628;Umbrella;ULTC;ULTC;;Umbrella (ULTC);SHA256;PoW;0;2625000;N/A;N/A;221;False;
UNB;4629;UnbreakableCoin;UNB;UNB;;UnbreakableCoin (UNB);SHA256;PoW;0;80000000;N/A;N/A;222;False;
UNO;4630;Unobtanium;UNO;UNO;;Unobtanium (UNO);SHA256;PoW;0;250000;N/A;N/A;223;False;
URO;4631;UroCoin;URO;URO;;UroCoin (URO);X11;PoW;0;0;N/A;N/A;224;False;
UTC;5012;UltraCoin;UTC;UTC;;UltraCoin (UTC);Scrypt;PoW/PoS;0;100000000;N/A;N/A;226;False;
UTIL;5013;Utility Coin;UTIL;UTIL;;Utility Coin (UTIL);X13;PoW/PoS;0;0;N/A;N/A;227;False;
VDO;5014;VidioCoin;VDO;VDO;;VidioCoin (VDO);X11;PoW/PoS;0;0;N/A;N/A;228;False;
VIA;5015;ViaCoin;VIA;VIA;;ViaCoin (VIA);Scrypt;PoW;0;23000000;N/A;N/A;229;False;
VOOT;5016;VootCoin;VOOT;VOOT;;VootCoin (VOOT);X11;PoW;0;0;N/A;N/A;230;False;
VRC;5017;VeriCoin;VRC;VRC;;VeriCoin (VRC);Scrypt;PoW/PoS;0;0;N/A;N/A;231;False;
VTC;5018;VertCoin;VTC;VTC;;VertCoin (VTC);Lyra2RE;PoW;0;84000000;N/A;N/A;232;False;
WC;5019;WhiteCoin;WC;WC;;WhiteCoin (WC);Scrypt;PoW/PoS;0;0;N/A;N/A;233;False;
XAI;5021;SapienceCoin;XAI;XAI;;SapienceCoin (XAI);X11;PoB/PoS;0;0;N/A;N/A;235;False;
XBOT;5022;SocialXbotCoin;XBOT;XBOT;;SocialXbotCoin (XBOT);Scrypt;PoW/PoS;0;2000000;N/A;N/A;236;False;
XC;5024;X11 Coin;XC;XC;;X11 Coin (XC);X11;PoW/PoS;0;5500000;N/A;N/A;237;False;
XCASH;5025;Xcash;XCASH;XCASH;;Xcash (XCASH);Scrypt;PoW/PoS;0;2400000;N/A;N/A;238;False;
XCR;5026;Crypti;XCR;XCR;;Crypti (XCR);Multiple;PoS;0;0;N/A;N/A;239;False;
XJO;5027;JouleCoin;XJO;XJO;;JouleCoin (XJO);SHA256;PoW;0;45000000;N/A;N/A;240;False;
XLB;5028;LibertyCoin;XLB;XLB;;LibertyCoin (XLB);X11;PoW/PoS;0;16500000;N/A;N/A;241;False;
XPM;5029;PrimeCoin;XPM;XPM;;PrimeCoin (XPM);Multiple;PoW;0;3299976;N/A;N/A;242;False;
XST;5032;StealthCoin;XST;XST;;StealthCoin (XST);X13;PoW/PoS;0;0;N/A;N/A;243;False;
